rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/explained_variance,train/approx_kl,train/clip_fraction,train/entropy_loss,train/clip_range,train/value_loss,train/learning_rate,train/n_updates,train/loss,train/policy_gradient_loss
14.97,169.57430931999997,2,12800,50,4329,0.42459124,0.0031220166,0.012890625,-1.3577782720327378,0.2,1975.4291687011719,0.0003,490,1139.2335205078125,-0.004307724675163627
15.0,170.75770468000002,2,13056,51,4416,0.44319642,0.0015885979,0.0,-1.3685980886220932,0.2,1986.7978393554688,0.0003,500,716.631591796875,-0.0028579638805240394
15.0,171.79290102000002,2,13312,52,4510,0.42013645,0.0016856056,0.002734375,-1.361723753809929,0.2,1972.914094543457,0.0003,510,437.8965759277344,-0.0032147734425961973
15.0,172.12745600000002,2,13568,53,4606,0.4414822,0.006676317,0.05703125,-1.3917395234107972,0.2,1898.1823455810547,0.0003,520,1104.997802734375,-0.006606245320290327
15.0,172.66040807,2,13824,54,4699,0.452363,0.013980892,0.06484375,-1.4421054601669312,0.2,1537.2947540283203,0.0003,530,839.6622314453125,-0.010895565059036017
15.0,173.86749102000002,2,14080,55,4791,0.43610877,0.013867129,0.09140625,-1.4589974135160446,0.2,1829.600146484375,0.0003,540,1189.1279296875,-0.01638533906079829
14.95,172.90840584999998,2,14336,56,4887,0.45903957,0.0144043835,0.07109375,-1.4790285527706146,0.2,1603.4019912719727,0.0003,550,720.52880859375,-0.014955246914178133
14.95,172.81018001999996,2,14592,57,4980,0.34623337,0.0018307369,0.00234375,-1.4784645766019822,0.2,1953.1059860229493,0.0003,560,1371.0196533203125,-0.0033385367598384617
14.95,173.15422628,2,14848,58,5072,0.45993257,0.005308279,0.027734375,-1.4965392410755158,0.2,1668.6050247192384,0.0003,570,597.7169189453125,-0.005952470423653722
14.86,173.16101009000002,2,15104,59,5159,0.4458536,0.002601066,0.0015625,-1.4287859439849853,0.2,1739.54892578125,0.0003,580,1143.9051513671875,-0.003026073216460645
